Animal,Peso,Sexo,Idade,Raça,FC,FR,PAS,T°C,Oximetria,Hematócrito,Arquivo
SHEIK,"18,500",Macho,"12 anos, 7 meses, 24 dias
Pelagem",Beagle,,,,,,,- SHEIK - VALQUIRIA.pdf
,,,12 Ano,,,,,,,,0010013781006894406 (2).pdf
,,,8 Ano,,,,,,,,001002476_LETICIA COLO_LAURA ESTELAÂ COLO.PDF
,,,,,,,,,,,0010024881007103309 (1).pdf
,,,,,,,,,,,0010041431007377622 (7).pdf
,,,,,,,,,,,0010086461004834249 Sophia.pdf
,,,,,,,,,,,0010159511007076389_1745426080573242.pdf
,,,12 Ano,,,,,,,,0060001011006721017.pdf
,,,,,,,,,,,011509764_CARLOTA_LUCIA.PDF
,,Fêmea,"9 anos  
Sexo",Pug ,,,,,,,02.05 Chiquinha 9809_ROTEM 3 CANAIS.pdf
,,Fêmea,"11 anos  
Sexo",Yorkshire ,,,,,,,06.05 Ricota Maria ROTEM 3 CANAIS.docx.pdf
NINA,"14,800",Fêmea,"15 anos, 2 meses, 26 dias
Pelagem",SEM RAÇA DEFINIDA,96 - 88 ,36 - 44 ,160 - 130 ,,97,,1 ____ Evolução Clínica do Paciente ____ - NINA - ROBINEY.pdf
,,,,,,,,,,,10057.402236795462.pdf
,,,,,,,,,,,105869.8647489181.pdf
,,,,,,,,,,,107251.21089930815.pdf
,,,,,,,,,,,114235.19495017512.pdf
,,,,,,,,,,,117885.6189279205.pdf
,,,,,,,,,,,117980.22480548997.pdf
,,Macho,"10 anos
Sexo",Pug,,,,,,,1309 HORUS 8075_ROTEM INTEM docx_240913_231357.pdf
,,Macho,"2 anos e 0 meses
Sexo",,,,,,,,13550 10-08-24 endoscopet DUODENITE linfangiectasia SUSP CE border 2aM BLUE (03476).pdf
,,,,,,,,,,,14926.44578216573.pdf
,,,,,,,,,,,18576.349704324617.pdf
,,,"3 anos 
 
Espécie",Pastor de Maremano Abruzês  ,,,,,,,2024 03 23 Alasca.pdf
,,Masc,,,,,,,,,2024 03 25 Alasca.pdf
,,,,,,,,,,,20240520110732_Adult Echo.pdf
,,,,,,,,,,,"23.07 Sangue, Reticulocitos, Tireoide, Eco, Eletro, US.pdf"
,,Fêmea,"10 anos                    
Proprietário",Yorkshire Terrier    Sexo:  Fêmea      Idade:   10 anos                    ,,,,,,,23914-Luna-5698.pdf
,,,,,,,,,,,23917.87871150888.pdf
,"0,0",Fêmea, ,Yorkshire,,,,,,,25-04-2025_Laudo_luna 5698.pdf
,"9,0",Macho,"8 anos e 0 mês
Sexo",Shih Tzu,,,,,,,25-07-2023_Laudo_Banzé.pdf
,,,,,,,,,,,2616.980607225169.pdf
,,,,,,,,,,,27.07 ANA.pdf
,,Clinica,Sexo,Espécie:,,,,,,,28090_NICK-1.pdf
,,Clinica,Sexo,Espécie:,,,,,,,28090_NICK.pdf
,,,,,,,,,,,28996.211301781528.pdf
,,F,,WEST HIGHLAND WHITE TERRIER,,,,,,,29985-LAYLA-OK (1).pdf
,"7,3",F,"13 anos 8 meses 9 dias
Microchip",SHIH-TZU,,,,,,,3. Eco_pequena (janeiro_2025).pdf
,,Clinica,Sexo,Espécie:,,,,,,,30053_CARAMELO-1.pdf
,,F,,SRD,,,,,,,31353-NINA-OK.PDF
,,F,,SRD,,,,,,,31499-LORY-OK.PDF
,,F,,CHOW- CHOW,,,,,,,32541-AGE-OK.PDF
,,,,,,,,,,,32741.698538290675.pdf
,,,,,,,,,,,33349.29035063362.pdf
,,,,,,,,,,,34621.686067377996.pdf
,,Macho,"11 anos 
Proprietário",SRD      Sexo: Macho    Idade:11 anos ,,,,,,,3_1744926007.US.57314+-+16.04.2025.pdf
,,Macho,"11a 6m 0d 
 Sorologia para Erlichia canis ",S.R.D. Canino ,,,,,,,3_1746725997.FR.FH.Hem.Tit+erlichia.07.05.25.U8O1L324269.pdf
,,Macho,"11a 6m 1d 
 Hemograma 
 Vlr Ref",S.R.D. Canino ,,,,,,,3_1746737558.Hem.08.05.25.PDF
,,Macho,"11a 6m 1d 
 Urina I 
 Valores de Referência     
   Material",S.R.D. Canino ,,,,,,,3_1746738664.Urinalise.08.05.25.PDF
,,Macho,"11 anos 
Proprietário",SRD      Sexo: Macho    Idade:11 anos ,,,,,,,3_1746805458.+US.57390Fido+-+Bob+08.05.2025.pdf
,,,,,,,,,,,3_1746805594.bioquimicos.09.05.25..pdf
,,M,"2 anos 0mes6 dias
Microchip",BORDER COLLIE,,,,,,,4-599859-BLUE.pdf
,,M,"2 anos 0mes0dia
Microchip",BORDER COLLIE,,,,,,,4-600287-BLUE_13116.pdf
,,F,"14 anos 0mes0dia
Microchip",SHIH-TZU,,,,,,,4-624151-SOPHIA_14227.pdf
,,F,"10 anos 8 meses 11 dias
Microchip",CHOW CHOW,,,,,,,4-636379-JUBA_8587.pdf
,,M,"9 anos 5 meses 8 dias
Microchip",PASTOR SHETLAND,,,,,,,4-636835-BUD_14416.pdf
,,F,"10 anos 3 meses 6 dias
Microchip",S.R.D. CANINO,,,,,,,4-659002-CHARLOTTE_14905.pdf
,,M,"15 anos 10 meses 17 dias
Microchip",S.R.D. CANINO,,,,,,,4-659812-MASSU_14924.pdf
,,M,"8 anos 3 meses 0dia
Microchip",CAVALIER KING CHARLES SPANIEL,,,,,,,4-659839-FRED_14892.pdf
,,M,"15 anos 10 meses 17 dias
Microchip",S.R.D. CANINO,,,,,,,4-659875-MASSU_14924.pdf
,,F,"9 anos 4 meses 2 dias
Microchip",HUSKY SIBERIANO,,,,,,,4-659914-LUNA.pdf
,,F,"10 anos 1mes8 dias
Microchip",HUSKY SIBERIANO,,,,,,,4-659918-LUNA_14929.pdf
,,F,"13 anos 10 meses 3 dias
Microchip",S.R.D. CANINO,,,,,,,4-661449-LETICIA_12188 (2).pdf
,,F,"9 anos 1mes14 dias
Microchip",PUG,,,,,,,4-662513-CHIQUINHA_14964 (1).pdf
,,F,"9 anos 1mes14 dias
Microchip",PUG,,,,,,,4-662513-CHIQUINHA_14964 (2).pdf
,,F,"9 anos 1mes14 dias
Microchip",PUG,,,,,,,4-662513-CHIQUINHA_14964 (3).pdf
,,F,"9 anos 1mes14 dias
Microchip",PUG,,,,,,,4-662513-CHIQUINHA_14964 (4).pdf
,,F,"9 anos 1mes14 dias
Microchip",PUG,,,,,,,4-662513-CHIQUINHA_14964 (5).pdf
,,M,"12 anos 0mes0dia
Microchip",S.R.D. CANINO,,,,,,,4-662516-PACOCA_14966.pdf
,,M,"2 anos 8 meses 16 dias
Microchip",BORDER COLLIE,,,,,,,4-663134-BLUE_13776.pdf
,,M,"2 anos 8 meses 17 dias
Microchip",BORDER COLLIE,,,,,,,4-663414-BLUE_13776.pdf
,,M,"2 anos 8 meses 18 dias
Microchip",BORDER COLLIE,,,,,,,4-663753-BLUE_13776.pdf
,,,,,,,,,,,43117.21570225268.pdf
,,,ID,Local: ,,,,,,,444806_ALASCA.pdf
,,F,"13 anos 6 meses 29 dias
Microchip",SHIH-TZU,,,,,,,5. ACTH_dezembro-2024.pdf
,,,,,,,,,,,5264.028799973386.pdf
,,,,,,,,,,,54576.057552896265.pdf
,,,,,,,,,,,5680 Ricota Maria can yorkshire 10 anos.pdf
,,,,,,,,,,,57683.68463789855.pdf
,,,,,,,,,,,59242.94511692699.pdf
,,,,,,,,,,,61885.07697011399.pdf
,,,,,,,,,,,6935.697492758077.pdf
,,,,,,,,,,,70027.38972455994.pdf
,,,,,,,,,,,71867.98984218501.pdf
,,,,,,,,,,,73670.50161695892.pdf
,,F,,PUG,,,,,,,7691-CHIQUINHA-OK.pdf
,,,,,,,,,,,78269.29238490753.pdf
,,,,,,,,,,,8164.543487711152.pdf
,,,,,,,,,,,83651.20922739798.pdf
,,,,,,,,,,,8485.652415238006.pdf
,"7,4",Macho,"8 anos e 2 meses
Sexo",Cavalier King Charles Spaniel,,,,,,,8548433.pdf
,"25,4",Macho,"9 anos e 0 mês
Sexo",Sem raça definida (SRD),,,,,,,8582190.pdf
,"37,2",Macho,"12 anos e 10 meses
Sexo",Golden Retriever,,,,,,,8591912.pdf
,"8,0",Fêmea,"11 anos e 0 mês
Sexo",Yorkshire,,,,,,,8591990 ELETRO RICOTA.pdf
,"0,0",Macho, ,Sem raça definida (SRD),,,,,,,8601787.pdf
,,,,,,,,,,,89618.05868481979 (1).pdf
,,,,,,,,,,,92946.17065324954.pdf
,,,,,,,,,,,96178.0564069254.pdf
FRED,"6,400",Macho,"8 anos, 3 meses, 2 dias
Pelagem",Cavalier king charles spaniel,140,28,120 ,,97,,ADMISSÃO - FRED - ANA.pdf
ANA,"3,900",Fêmea,"9 anos, 11 meses, 11 dias
Pelagem",Yorkshire terrier,160 ,28 ,140 ,,96,,Admissão Ana Bela.pdf
LORY,"11,800",Fêmea,"12 anos, 8 meses, 29 dias
Pelagem",SEM RAÇA DEFINIDA,116 - 128 ,36 - 40 ,140 - 140 ,,,,Admissão Lory.pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Aghata (Ariana) 08-04.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Alaska (Celina) 17-09.pdf
,,,,,,,,,,,ALASKA CITO.pdf
,,,,,,,,,,,Albumina - 25.09.24.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Amy (Alexia) 13-05.pdf
,,F,"10 anos 0mes 0dia
Microchip",PASTOR ALEMAO,,,,,,,"Amy _ hemograma, ureia, creatinina 10-05_25.pdf"
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Ana Bela (Ana Rodrigues) 29-10-1.pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Ana Bela (Ana) 29-10.pdf
,,,,,144,,140,,,,ATUALIZACAO CARAMELO .pdf
ALASKA,"70,000",Macho,"4 anos, 3 meses, 3 dias
Pelagem",Pastor maremano,134 - 140 ,36 - 40 ,160 - 170  ,,,,Atualização Alaska.pdf
BLUE,"5,400",Macho,"10 anos, 1 mês, 17 dias
Pelagem",Spitz Alemão(Lulu da pomerania),180 - 184 ,,130 - 160 ,,96,,Atualização Blue-1.pdf
BLUE,"5,400",Macho,"10 anos, 1 mês, 19 dias
Pelagem",Spitz Alemão(Lulu da pomerania),132 - 132 ,44 - 40 ,140 - 90 ,,,,Atualização Blue-2.pdf
BLUE,"5,400",Macho,"10 anos, 1 mês, 16 dias
Pelagem",Spitz Alemão(Lulu da pomerania),144 ,32 ,160 ,,98,22,Atualização Blue.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,80 - 104 ,28 - 48 ,140 - 120 ,,,,Atualização Chorão.pdf
HORUS,"9,000",Macho,"10 anos, 10 meses, 20 dias
Pelagem",Pug,82 - 112  ,44 - 32 ,140 - 120 ,,,,Atualização Horus Noturna.pdf
